Filename, Title (from PDF XMP metadata)
230302e, Shaping the future we want: UN Decade of Education for Sustainable Development (2005-2014); final report;summary; 2014
230304f, Egalite des genres: patrimoine et creativite; 2014
230372e, Engaging local communities in stewardship of World Heritage: a methodology based on the COMPACT experience; World heritage series: papers; Vol.:40; 2014
230504e," Basic texts of the 2003 Convention for the Safeguarding of the Intangible Cultural Heritage, 2014 edition; 2014"
230514e, UNESCO roadmap for implementing the Global Action Programme on Education for Sustainable Development; 2014
230529e," Understanding community perceptions about climate change in the Pacific, final report; 2014"
230611e, Towards indicators for a post-2015 education framework: Post-2015 Education Indicators Technical Advisory Group of the EFA Steering Committee; 2014
230725por, 2? relatorio global sobre aprendizagem e educacao de adultos: repensando a alfabetizacao; 2014
230727por, Planejamento e gestao de politicas educativas: formacao em contexto de funcionarios do MEC Brasil; 2014
230732por, Experiencias em educacao preventiva ao uso de drogas: a experiencia do Brasil; 2014
230739m," Tyotohoki diyok-nim to amkira batih, tyotikok nyama, tokodowik nyama adik diyok-nim namamtunim, apoknim tom tyokatu wahumam ...; Serie Javari: educacao preventiva para DST/HIV/Aids e hepatites virais para povos indigenas do Vale do Javari; Vol.:4; 2014"
230779s," Encuentro de generaciones por medio de la radio: guia practica desarrollada en Africa para productores radiales que trabajan con ninos, ninas y jovenes; 2014"
230845f, Education et VIH: evolution et perspectives; L'Education en devenir; 2014
230847e," Information for all Programme, IFAP: report 2008-2013; 2014"
230892f," Politiques et pratiques relatives aux enseignants dans la perspective de l'Education pour tous: etudes de cas du Burkina Faso, du Senegal et du Togo; 2014"
230929e, Funmilayo Ransome-Kuti: and the Women's Union of Abeokuta; UNESCO series on women in African history; 2014
230934e, The Women soldiers of Dahomey; UNESCO series on women in African history; 2014
230936e, The Mulatto Solitude; UNESCO series on women in African history; 2014
230986s, La Informacion y el conocimiento abierto en el contexto de la cooperacion multilateral: aspectos clave para la revision del Acuerdo Regional no. 7 de ALADI; Cuadernos de discusion de comunicacion e informacion; Vol.:2; 2014
231017e," Proposed standard practice for surveys on Science, Engineering, Technology and Innovation (SETI) policy instruments, SETI governing bodies, SETI legal framework and policies; 2014"
231066e," Fifty years of hydro(geo)logical mapping activities under the auspices of UNESCO, CGWM, IAH and BGR; 2014"
231068f, Indicateurs d'egalite des genres dans les medias: cadre d'indicateurs pour l'evaluation de la sensibilite a la question du genre dans les activites et contenus (mediatiques); 2015
231069s, Indicadores de genero para medios de comunicacion: marco de indicadores para evaluar la sensibilidad en materia de genero en las operaciones y contenidos mediaticos; 2014
231076s, A salvo y preparado: guia para padres sobre la reduccion del riesgo de desastres; 2014
231083e, The Asia and Pacific Regional Bureau's Education Support Strategy 2014-2021: Learning for Peace and sustainable Development; 2014
